Остатки по КТ по размерам;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Артикул продавца;Название;Артикул WB;Предмет;Бренд;Размер;Регион;Склад;Доступность;Заказали, шт;Заказали на сумму, ₽;Выкупили, шт;Выкупили на сумму, ₽;Процент выкупа;Заказы в среднем за февраль, шт;Заказы в среднем за март, шт;Общее среднее кол-во заказов, шт;Остатки на текущий день, шт;Стоимость остатков на текущий день, ₽;Остатки впервые зафиксированы на складе WB;Оборачиваемость текущих остатков;Оборачиваемость средних остатков;В пути к покупателю, шт;В пути от покупателя, шт;Текущая цена с учетом скидок, ₽;Время отсутствия товара на складе;Упущенные заказы, шт;Сумма упущенных заказов, ₽;Упущенные выкупы, шт;Сумма упущенных выкупов, ₽
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Беларусь;Минск Привольный;Дефицит;1;719;1;719;100;0,06;0;0,03;0;0;> 180 дней назад;0ч;0ч;0;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Дальневосточный + Сибирский;Новосибирск;Дефицит;1;719;0;0;0;0,06;0;0,03;0;0;> 180 дней назад;0ч;>999д;0;0;614;28д 19ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;Пенза WB;Дефицит;1;682;1;682;100;0;0,09;0,05;0;0;> 180 дней назад;0ч;1д 16ч;0;0;614;28д 15ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;Пермь 3;Дефицит;1;719;0;0;0;0;0,09;0,05;0;0;> 180 дней назад;0ч;0ч;0;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Южный + Северо-Кавказский;Адыгея;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;0;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Северо-Западный;Архангельск Ленина;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;0;1;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Южный + Северо-Кавказский;Астрахань, Солянка;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;0;1;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Белая дача;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;4;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Южный + Северо-Кавказский;Владикавказ;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;0ч;0ч;1;0;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Внуково;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;1;1;614;Отсутствовал весь период;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Вёшки;Дефицит;0;0;0;0;0;0;0;0;0;0;> 180 дней назад;>999д;0ч;2;1;614;Отсутствовал весь период;0;0;0;0
